d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean,attention_mag_mean,attention_theta_mean
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.01,False,GD,1.0,0.00438563444519043,0.00556368921661377,0.040536702675900115,0.00794466012060487,0.003005488828663753
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.01,True,GD,1.0,0.004044153076171875,0.005453520403544108,0.03988788976861785,0.004147804195478481,0.0070749462329937765
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.09291666666666666,False,GD,1.0,0.0038505902353922522,0.005225265151977539,0.309973451629281,0.06676408504135907,0.00995039311292203
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.09291666666666666,True,GD,1.0,0.003918634305318197,0.0053977932459513345,0.3487030776242415,0.014557742969676232,0.057212098315358166
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.17583333333333334,False,GD,1.0,0.003874081245422363,0.005067663078308106,0.5693815318644047,0.11363880541175604,0.017094613475880274
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.17583333333333334,True,GD,1.0,0.003948184407552084,0.005295797655741373,0.6248225248257319,0.016857863074922836,0.10361690918604533
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.25875,False,GD,1.0,0.003869940869649251,0.004911325146993001,0.83127067643404,0.14749807237337034,0.01662120330899294
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.25875,True,GD,1.0,0.0038721228434244795,0.005045369043986002,0.8628025435407957,0.019619012668317736,0.14475252274423836
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.3416666666666667,False,GD,1.0,0.003995189709981283,0.005026209548950195,1.0819085230429968,0.16744307279586793,0.01929205199558055
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.3416666666666667,True,GD,1.0,0.003978015258789063,0.004988034367879232,1.1270855823556583,0.019295671667653853,0.19134026244282723
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.4245833333333333,False,GD,1.0,0.0038160783106486,0.00477720598856608,1.2608556494911511,0.18008770644664765,0.023536201894603436
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.4245833333333333,True,GD,1.0,0.003819596923828125,0.004577225440979004,1.3445235994160176,0.023841030690042925,0.23120207004249096
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5075,False,GD,1.0,0.0038914456202189126,0.004900460169474283,1.520644862294197,0.18803018294274806,0.024169009533943606
1000,2,1,0.4,0.5,0.02,0.01,0.0001,0.5075,True,GD,1.0,0.0038769709828694664,0.0044279780832926436,1.5794375137488048,0.010989044102219243,0.2777701490869125
