d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean,attention_mag_mean,attention_theta_mean
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.3366666666666667,True,GD,1.0,0.0,0.00369622270711263,0.001995135916392008,2.8044830834269523,0.005166801348453495,0.5510847836732865
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.4195833333333334,False,GD,1.0,1.0,0.003644642234802246,0.00460543549601237,3.9903357226053875,0.17152224543193975,0.02912094737087803
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.4195833333333334,True,GD,1.0,0.0,0.0037760305836995445,0.0019161561991373696,2.925508797864119,0.005258246750357406,0.5767861247062683
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.5025,False,GD,1.0,1.0,0.0037614935913085935,0.00477575905863444,4.362365369240443,0.16505893481274445,0.050915679688720655
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.5025,True,GD,1.0,0.0,0.003731305994669596,0.0017560539143880209,2.9849848579963045,0.0061217402069208525,0.5897566845019658
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.5854166666666667,False,GD,1.0,1.0,0.003759175547281901,0.004812131777445475,4.658333105484645,0.16978938418130082,0.04515059573216907
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.5854166666666667,True,GD,1.0,0.0,0.003706164212544759,0.001589585287729899,3.082275949855646,0.006984568611975797,0.6115929906566938
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.6683333333333332,False,GD,1.0,1.0,0.00374632053120931,0.0047054243901570635,4.752855289300283,0.1564320075015227,0.08842536825298641
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.6683333333333332,True,GD,1.0,0.0,0.0037533780364990238,0.0014681522394816083,3.1877964035073916,0.005458093502359891,0.634086249768734
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.75125,False,GD,1.0,1.0,0.0037718781178792318,0.004788239840189616,5.1582754852771755,0.15770883125563462,0.08167225979268551
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.75125,True,GD,1.0,0.0,0.003756774470011393,0.0014172982025146485,3.2251510485013326,0.004640648386218042,0.6421454340219498
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.8341666666666667,False,GD,1.0,1.0,0.0037855607147216797,0.004888041147867839,5.530422177950541,0.1633694606522719,0.05269767786764229
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.8341666666666667,True,GD,1.0,0.0,0.0036837706883748374,0.001277535629272461,3.259028483311335,0.00501601152815662,0.649916727344195
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.9170833333333333,False,GD,1.0,1.0,0.0035997887217203775,0.004512425827026367,5.302733824968338,0.14838461689651014,0.08683443256498624
1000,2,1,0.4,0.5,0.04,0.01,0.0001,1.9170833333333333,True,GD,1.0,0.0,0.0037717874984741213,0.0011917644627888998,3.3833366155823072,0.005064018308742865,0.6757601946592331
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.0,False,GD,1.0,1.0,0.0037562135213216143,0.0047940327707926425,5.8455005319913225,0.15002953931689264,0.08468657762277872
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.0,True,GD,1.0,0.0,0.0036699673741658525,0.0011113085346221923,3.351665623386701,0.004978777580405828,0.669262078901132
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.01,False,GD,1.0,1.0,0.00391181655629476,0.004352409049987793,0.02667753840298273,0.004685853687791072,0.0025638648705050096
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.01,True,GD,1.0,0.0,0.003964486167907714,0.00433118234761556,0.03174212592915865,0.004133002903995475,0.005929401449975558
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.09291666666666666,False,GD,1.0,1.0,0.0036040369949340823,0.004233053448994955,0.276435400446256,0.05220815200979511,0.011420323668183604
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.09291666666666666,True,GD,1.0,0.0,0.0035955555267333985,0.004214096036275228,0.28329059671858947,0.012483860037173144,0.047079684259369974
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.17583333333333334,False,GD,1.0,1.0,0.0035650535736083985,0.004090199859619141,0.48575261240204176,0.08378560344378154,0.009982093747142547
