d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,r_student,attention_mag_max,attention_thet_max,attention_mag_min,attention_thet_min,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.25375,False,GD,0.0,0.0,0.0,0.01573001071409169,0.14159418900358842,0.02175735243000201,0.08286838965277497,0.00030168641121317545,0.0007772658362403021,0.28597225200717435
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.3366666666666667,False,GD,0.0,0.0,0.0,0.02358011104523626,0.10591781810763444,0.041653047343368936,0.06079270506915154,0.0002701170747997148,0.00047832473816345476,0.297989007842146
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.4195833333333334,False,GD,0.0,0.0,0.0,0.02026290274091289,0.16024292151681485,0.04271923330257241,0.10392134994542508,0.0001819640218592448,0.0010130512037478479,0.2998409361127211
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.5025,False,GD,0.0,0.0,0.0,0.021540488586096418,0.13623951766139336,0.028180240567246335,0.10903859420908212,0.00020296655182261563,0.0008671191593440632,0.361887915000904
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.5854166666666667,False,GD,0.0,0.0,0.0,0.014660407956821761,0.15425941686595204,0.031450485762532614,0.08463001625140609,0.00019053935679304076,0.0009754967083384837,0.4879661074141549
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.6683333333333332,False,GD,0.0,0.0,0.0,0.012315987095216136,0.15261139058421194,0.03223263469939062,0.11404868354160662,0.00031662914611931074,0.0009666887617258684,0.4250003790794914
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.75125,False,GD,0.0,0.0,0.0,0.01165463222466719,0.09211646353625733,0.029441392403680194,0.11768184056713157,0.00016661264234378578,0.000741377706041402,0.43668025179041975
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.8341666666666667,False,GD,0.0,0.0,0.0,0.03619536467417001,0.10094928021336648,0.031007450865453763,0.10620026288070579,0.00019324952763720562,0.0010085513552117401,0.398423518301672
1000,2,1,0.4,0.5,0.02,0.01,0.0001,1.9170833333333333,False,GD,0.0,0.0,0.0,0.016391905521538363,0.0952444213266162,0.03247574586531278,0.16665588367316836,0.00027290598873526504,0.0008845737264167577,0.4726750982530019
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.0,False,GD,0.0,0.0,0.0,0.02892063447881258,0.20451212476255373,0.028237336513938484,0.12383247186232067,0.00020988350020829978,0.001496069061037925,0.7348559001032401
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.0833333333333335,False,GD,0.0,0.0,0.0,0.015588953593467307,0.1657880899559359,0.02646633077071775,0.10252208619939293,0.000217730220421164,0.0013420369044069127,0.7738137742207348
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.1666666666666665,False,GD,0.0,0.0,0.0,0.0132613280439862,0.14439931789728114,0.01832345610949248,0.13624107319683232,0.00024846685570996304,0.0011484748965702556,0.6465413548811066
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.25,False,GD,0.0,0.0,0.0,0.02370034423092586,0.12892748569327903,0.020991970271626192,0.15248017257989985,0.00020198534330215253,0.0010683681113353189,0.7362616853798051
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.3333333333333335,False,GD,0.0,0.0,0.0,0.01195038181217585,0.14150088563310984,0.025788191090608124,0.1109757261674522,0.00021825835169675387,0.0008955629446724634,0.5757270026406456
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.4166666666666665,False,GD,0.0,0.0,0.0,0.01356911968206743,0.09212643923683649,0.031030203690825937,0.166013403167032,0.0002815108509386079,0.00010394472579468276,0.19116857570862572
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.5,False,GD,0.0,0.0,0.0,0.011277061702127722,0.18993769966113244,0.03007336451341168,0.18709878512091815,0.00018199608956795613,0.001371069891132713,0.987189226240186
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.583333333333333,False,GD,0.0,0.0,0.0,0.03284063585643466,0.08812185520356719,0.023169090765481494,0.14741352290454895,0.0002814093331668052,0.00035440439217022593,0.3846123190730892
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.6666666666666665,False,GD,0.0,0.0,0.0,0.018296232602617476,0.09733849135657521,0.028299591560547042,0.1798293984705362,0.00020826530436457877,0.00020939544815017032,0.20538419553148082
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.75,False,GD,0.0,0.0,0.0,0.028349187609367606,0.069756069873497,0.02517710838120814,0.17676972593957263,0.0001229866500794078,4.282832260795579e-05,0.10332626059339148
1000,2,1,0.4,0.5,0.02,0.01,0.0001,2.833333333333333,False,GD,0.0,0.0,0.0,0.019497481812073846,0.09931311244519599,0.024121563904669747,0.1895816326700587,0.0002308699459381609,0.0008942864317779075,0.9011646725209149
