d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,informed_position,r_student,attention_mag_max,attention_thet_max,attention_mag_min,attention_thet_min,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.75,False,GD,1.0,0.0,2.0,0.11265627,0.63271016,0.052394867,0.28902215,0.0038194784484863282,0.0011594471801757813,4.355141089725494
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.833333333333333,False,GD,1.0,0.0,2.0,0.10120861,0.67757416,0.041917555,0.2708003,0.003686080358886719,0.0008216943656921387,4.051378714227677
1000,2,1,0.4,0.5,0.04,0.01,0.0001,2.9166666666666665,False,GD,1.0,0.0,2.0,0.114299275,0.71841025,0.039560948,0.25403112,0.003787411785888672,0.000689088533782959,4.100073032808304
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.0,False,GD,1.0,0.0,2.0,0.108529106,0.6829139,0.047468666,0.29893762,0.0036011399780273437,0.0006213954040527345,3.9856792150497435
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.083333333333333,False,GD,1.0,0.0,2.0,0.10930469,0.72982854,0.045813717,0.30874375,0.003889344152832031,0.0006070579689025879,4.218141382741928
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.1666666666666665,False,GD,1.0,0.0,2.0,0.10305935,0.6753259,0.055314146,0.38015467,0.0037925429443359374,0.0005985272346496582,4.166708828163147
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.25,False,GD,1.0,0.0,2.0,0.107874975,0.7272246,0.04096133,0.27732387,0.0037202365478515623,0.0005253931648254394,4.148121092414856
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.333333333333333,False,GD,1.0,0.0,2.0,0.09707491,0.6626793,0.063885346,0.44155782,0.003717368371582031,0.000479389266204834,4.188416775798798
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.4166666666666665,False,GD,1.0,0.0,2.0,0.10765569,0.746729,0.03719079,0.28111377,0.0037963377990722657,0.0004587762245178223,4.291026724481583
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.5,False,GD,1.0,0.0,2.0,0.10522038,0.75241977,0.04363499,0.30076846,0.0038051068298339845,0.00044673896484374994,4.292989506149292
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.583333333333333,False,GD,1.0,0.0,2.0,0.10484405,0.7410563,0.036342632,0.2612281,0.003681202557373047,0.00042181031646728516,4.2507311036586755
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.6666666666666665,False,GD,1.0,0.0,2.0,0.103957,0.7705816,0.037898514,0.27417433,0.0038044240539550785,0.0004042964607238769,4.376383281421662
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.75,False,GD,1.0,0.0,2.0,0.102496244,0.7348282,0.040479176,0.29834446,0.0036859676208496088,0.0003788157958984375,4.26178716082573
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.833333333333333,False,GD,1.0,0.0,2.0,0.10642731,0.79484975,0.030235384,0.23730977,0.0038100538818359375,0.0003696696502685547,4.402169831800461
1000,2,1,0.4,0.5,0.04,0.01,0.0001,3.9166666666666665,False,GD,1.0,0.0,2.0,0.10262819,0.7763082,0.033729933,0.24159893,0.0036994368713378903,0.0003375228256225586,4.360626982307434
1000,2,1,0.4,0.5,0.04,0.01,0.0001,4.0,False,GD,1.0,0.0,2.0,0.10165262,0.7748014,0.03411341,0.25669283,0.0037206267150878907,0.0003220544807434082,4.3723642868995665
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.01,False,GD,1.0,0.0,2.0,0.004890158,0.0021027634,0.0026992343,0.0010966336,0.003874697888183594,0.00520223207397461,0.03893041527420282
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.09291666666666666,False,GD,1.0,0.0,2.0,0.026678756,0.0151256565,0.009402795,0.0052348585,0.0036106749938964846,0.00518234833984375,0.3278069098711014
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.17583333333333334,False,GD,1.0,0.0,2.0,0.060942274,0.021858502,0.03277522,0.010262424,0.0036060420043945315,0.005007642822265625,0.5816522599816322
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.25875,False,GD,1.0,0.0,2.0,0.054871697,0.031550404,0.029603679,0.014139312,0.0035289399169921875,0.004858849481201172,0.7596596372365951
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.3416666666666667,False,GD,1.0,0.0,2.0,0.103186384,0.029283365,0.035320327,0.012299934,0.003678567193603516,0.004852594213867188,0.9997267050743103
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.4245833333333333,False,GD,1.0,0.0,2.0,0.12504952,0.034869593,0.047979683,0.00910083,0.0035401190307617187,0.0045326187927246095,1.164800348186493
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.5075,False,GD,1.0,0.0,2.0,0.13084209,0.039448712,0.03052241,0.015638549,0.0036097264282226567,0.0045948741333007815,1.441215969634056
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.5904166666666667,False,GD,1.0,0.0,2.0,0.12703353,0.06297614,0.0528406,0.023350636,0.0035481827148437497,0.004459525677490235,1.5578484051704407
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.6733333333333333,False,GD,1.0,0.0,2.0,0.14662597,0.059725113,0.053782374,0.032904863,0.0036231414550781252,0.004520456488037109,1.7309634540081025
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.75625,False,GD,1.0,0.0,2.0,0.13903168,0.09163682,0.07644801,0.038841315,0.0034986986694335942,0.004270848693847656,1.913251522254944
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.8391666666666666,False,GD,1.0,0.0,2.0,0.14632298,0.12168487,0.07578662,0.066240355,0.0036982621948242187,0.004401089343261719,2.170826997613907
1000,2,1,0.4,0.5,0.06,0.01,0.0001,0.9220833333333334,False,GD,1.0,0.0,2.0,0.15456998,0.09104983,0.08007008,0.039505087,0.0036615471191406247,0.00444769384765625,2.3753053226947785
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.005,False,GD,1.0,0.0,2.0,0.15007785,0.1415424,0.06299168,0.048948664,0.0035025787292480466,0.004106984033203124,2.4069874310970305
1000,2,1,0.4,0.5,0.06,0.01,0.0001,1.0879166666666666,False,GD,1.0,0.0,2.0,0.14945436,0.11994885,0.07834782,0.06240096,0.00351975712890625,0.004174969622802735,2.6190780458927154
