d,L,r,delta,sigma,omega,attention_lmbda,linear_lmbda,alpha,informed,optim,N_iter,linear_gen_error_mean,attention_gen_error_mean,attention_train_error_mean,attention_mag_mean,attention_theta_mean
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.5075,False,GD,0.0,1.268211564852653e-05,2.471948562182983e-05,0.0227147785852897,0.006414892320856813,0.0005435633621806551
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.5075,True,GD,0.0,9.529963001629104e-06,1.992577474832522e-05,0.013391144990535965,0.0063346957517695516,0.0004837095784176783
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.5904166666666667,False,GD,0.0,1.0252937419297568e-05,1.9790694377161905e-05,0.019002867112718078,0.011797801443890034,0.0010192330958729927
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.5904166666666667,True,GD,0.0,1.1491080301439945e-05,2.406084593590012e-05,0.02620359717462862,0.01789153187724206,0.001301205033043623
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.6733333333333333,False,GD,0.0,1.0360471434606072e-05,2.0721885917360624e-05,0.021837746404794686,0.012344602390756706,0.002557329178463379
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.6733333333333333,True,GD,0.0,1.0998881840003885e-05,2.7064546015574243e-05,0.01683139602218817,0.028175510065632937,0.0023382994684640413
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.75625,False,GD,0.0,1.1289429671667322e-05,1.7131888579521706e-05,0.017248555414916752,0.0056246952690275215,0.0032127410630047723
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.75625,True,GD,0.0,1.0190455779941052e-05,4.450523789458548e-05,0.024955405622555556,0.03519323386056021,0.0019507277471727366
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.8391666666666666,False,GD,0.0,1.2734847337525703e-05,1.660098371075393e-05,0.02427845426871392,0.005632539204269496,0.003351074938373167
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.8391666666666666,True,GD,0.0,1.0669815181306096e-05,5.736533113371233e-05,0.026530202584495528,0.04083743153345713,0.00364699012547526
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.9220833333333334,False,GD,0.0,9.469166558556219e-06,1.4054302693449164e-05,0.019302325829567476,0.0036773486045698885,0.0037861375056304743
1000,2,1,0.4,0.3,0.3,0.01,0.0001,0.9220833333333334,True,GD,0.0,1.5286405092930048e-05,4.265474234322889e-05,0.022856675952576032,0.027612994597495406,0.0034336580613381334
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.005,False,GD,0.0,1.3644145975436644e-05,1.5189478040695473e-05,0.032830429682847044,0.006710201189811065,0.004698456922698488
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.005,True,GD,0.0,1.0559685178950454e-05,1.6616455895040816e-05,0.025371944739628557,0.0083869340217422,0.00369270576233272
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.0879166666666666,False,GD,0.0,1.0187939690330278e-05,1.2674265740977608e-05,0.02501906707852438,0.004344949864955983,0.003662310302757869
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.0879166666666666,True,GD,0.0,1.217466397673306e-05,1.9745895092883827e-05,0.027317539877723552,0.008321677158296787,0.004691322691258191
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.1708333333333334,False,GD,0.0,8.972955576533088e-06,1.1288923771838584e-05,0.023896291012082408,0.0037696356470170735,0.004705066439833864
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.1708333333333334,True,GD,0.0,1.0162088487478104e-05,1.3220511546402523e-05,0.022282513284991475,0.006327104337913395,0.0047660051665633614
1000,2,1,0.4,0.3,0.3,0.01,0.0001,1.25375,False,GD,0.0,1.1136617798893921e-05,1.2453837595268655e-05,0.029890959983335647,0.004230627959852158,0.005274781105212611
